ndc,ADHD,ANTIDEPRESSANT,ANTIPSYCHOTIC,MOODSTABILIZER,ANTIANXIETY,SLEEP
548683976,1,0,0,0,0,0
548683976,1,0,0,0,0,0
001850084,1,0,0,0,0,0
548686033,1,0,0,0,0,0
548686028,1,0,0,0,0,0
548686034,1,0,0,0,0,0
005550768,1,0,0,0,0,0
165900901,1,0,0,0,0,0
636293731,1,0,0,0,0,0
647200130,1,0,0,0,0,0
647200132,1,0,0,0,0,0
647200135,1,0,0,0,0,0
548685470,1,0,0,0,0,0
548686192,1,0,0,0,0,0
548686227,1,0,0,0,0,0
002283059,1,0,0,0,0,0
002283060,1,0,0,0,0,0
002283061,1,0,0,0,0,0
002283062,1,0,0,0,0,0
002283063,1,0,0,0,0,0
002283064,1,0,0,0,0,0
636293730,1,0,0,0,0,0
004068892,1,0,0,0,0,0
131070068,1,0,0,0,0,0
131070069,1,0,0,0,0,0
131070070,1,0,0,0,0,0
131070071,1,0,0,0,0,0
131070072,1,0,0,0,0,0
131070073,1,0,0,0,0,0
131070074,1,0,0,0,0,0
576640641,1,0,0,0,0,0
576640642,1,0,0,0,0,0
576640643,1,0,0,0,0,0
576640644,1,0,0,0,0,0
576640645,1,0,0,0,0,0
576640646,1,0,0,0,0,0
576640647,1,0,0,0,0,0
578440105,1,0,0,0,0,0
578440110,1,0,0,0,0,0
578440112,1,0,0,0,0,0
578440115,1,0,0,0,0,0
578440117,1,0,0,0,0,0
578440120,1,0,0,0,0,0
578440130,1,0,0,0,0,0
459630745,1,0,0,0,0,0
459630748,1,0,0,0,0,0
459630749,1,0,0,0,0,0
459630743,1,0,0,0,0,0
243380020,1,0,0,0,0,0
243380021,1,0,0,0,0,0
647200131,1,0,0,0,0,0
647200133,1,0,0,0,0,0
647200134,1,0,0,0,0,0
680840815,1,0,0,0,0,0
680840832,1,0,0,0,0,0
680840874,1,0,0,0,0,0
680840880,1,0,0,0,0,0
680840887,1,0,0,0,0,0
680840898,1,0,0,0,0,0
680840909,1,0,0,0,0,0
606870133,1,0,0,0,0,0
606870154,1,0,0,0,0,0
680840936,1,0,0,0,0,0
680840943,1,0,0,0,0,0
001151486,1,0,0,0,0,0
001151487,1,0,0,0,0,0
001151488,1,0,0,0,0,0
001151489,1,0,0,0,0,0
001151490,1,0,0,0,0,0
001151491,1,0,0,0,0,0
003784541,1,0,0,0,0,0
003784542,1,0,0,0,0,0
003784543,1,0,0,0,0,0
003784544,1,0,0,0,0,0
003784545,1,0,0,0,0,0
003784546,1,0,0,0,0,0
003784547,1,0,0,0,0,0
243380022,1,0,0,0,0,0
243380026,1,0,0,0,0,0
001850831,1,0,0,0,0,0
001850842,1,0,0,0,0,0
001850853,1,0,0,0,0,0
001850864,1,0,0,0,0,0
002283046,1,0,0,0,0,0
002283047,1,0,0,0,0,0
002283048,1,0,0,0,0,0
002283049,1,0,0,0,0,0
002283050,1,0,0,0,0,0
002283051,1,0,0,0,0,0
002283052,1,0,0,0,0,0
007812329,1,0,0,0,0,0
007812335,1,0,0,0,0,0
007812343,1,0,0,0,0,0
007812352,1,0,0,0,0,0
007812368,1,0,0,0,0,0
007812371,1,0,0,0,0,0
606870221,1,0,0,0,0,0
606870232,1,0,0,0,0,0
606870276,1,0,0,0,0,0
606870287,1,0,0,0,0,0
606870298,1,0,0,0,0,0
669930594,1,0,0,0,0,0
669930595,1,0,0,0,0,0
669930596,1,0,0,0,0,0
669930597,1,0,0,0,0,0
669930598,1,0,0,0,0,0
669930599,1,0,0,0,0,0
